period,total,ru,foreign,translations,wave,epistemic,certainty,source_id,source_page,key_events,notes
1810s,2,2,0,0,,model,approx,ATLAS,,"1818 — Карамзин: первая публикация в «Истории государства Российского»","Оценочные показатели внимания, не библиометрия. total = ru + foreign; translations — подмножество."
1820-40s,5,5,0,0,,model,approx,ATLAS,,"1821 — первые отклики в журналах; 1840-е — упоминания в востоковедных трудах",""
1850-60s,18,14,4,1,"① Срезневский 1857",model,approx,ATLAS,,"1853 — Сахаров (первое отдельное издание); 1857 — Срезневский (три списка); 1860 — первые европейские упоминания","Первый научный расцвет."
1870-90s,22,16,6,2,,model,approx,ATLAS,,"1872 — первый немецкий перевод; 1880-е — индийские учёные о «Летописи Бахманидов»; 1890-е — сравнения с Марко Поло",""
1900-10s,35,24,11,3,"② Юбилей 1908",model,approx,ATLAS,,"1908 — юбилейное тверское издание; 1910 — англ. перевод; 1912 — фр.; 1915 — яп.","Юбилейный бум, 500-летие."
1920-30s,28,22,6,1,,model,approx,ATLAS,,"1928 — включение в школьные программы СССР; 1930-е — марксистская интерпретация",""
1940-50s,55,48,7,2,"③ АН СССР 1948",model,approx,ATLAS,,"1948 — академическое издание АН СССР; 1955 — обязательная школьная программа; 1957 — хинди-перевод","Сталинский пик."
1960-70s,72,52,20,5,"④ Фильм 1960",model,approx,ATLAS,,"1960 — советско-индийский фильм; 1963 — польский перевод; 1970 — памятник в Твери; 1971 — теплоход","Культурный пик."
1980s,48,36,12,3,,model,approx,ATLAS,,"1986 — издание Лурье–Семёнова (золотой стандарт); 1988 — индийское исследование бахманидского контекста","Академическая консолидация."
1990s,22,18,4,1,,model,approx,ATLAS,,"1991 — распад СССР; 1998 — первые интернет-публикации текста","Спад после распада СССР."
2000-10s,65,44,21,4,,model,approx,ATLAS,,"2004 — массовые издания Эксмо и АСТ; 2008 — 540-летие; 2010 — индийско-российские проекты","Цифровизация."
2020s,88,58,30,3,"⑤ Хрусталёв 2026",model,approx,ATLAS,,"2020 — постколониальные прочтения; 2021 — 550-летие; 2026 — Хрусталёв: реконструкция, новая датировка","Постколониальный и текстологический ренессанс."
